id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
82ab4ada-d9fd-4727-b652-5d912e15039c,firm.lawyer,premium,3750,,high,low,4,name.com,,
313b7b05-f7b8-4634-a255-afffd20df641,firm.attorney,premium,3750,,high,low,4,name.com,,
b550d0f4-cf24-454a-89c6-8d1b35ab39f7,action.lawyer,premium,854,854,high,medium,6,namesilo,,
e66c0418-f2ae-42f8-a047-fcaefaf815c8,firm.esq,premium,411.25,,high,low,4,name.com,,
f9121827-f5c5-427c-83a7-f38d979c6bf3,action.attorney,premium,854,854,high,medium,6,namesilo,,
76aa6061-248d-4a95-ab90-9f63e1179e27,just.lawyer,premium,3125,,high,medium,4,name.com,,
200906ff-015c-425d-bddf-692c5228adb1,trial.lawyer,available,,,high,low,5,,,
8fc74ddf-09dd-4a24-9565-33fac86dd333,family.lawyer,available,,,high,low,6,,,
200f1485-a189-45d7-ae96-81f1f137646a,context.attorney,available,62.99,62.99,high,medium,7,namesilo,,
ee935e25-0cb4-4b6f-956f-9fa4616802a3,action.esq,premium,811.25,,high,medium,6,name.com,,
a7cfb0cf-5a36-4b5a-b57f-4c2b8129637a,just.attorney,premium,3125,,high,medium,4,name.com,,
22f33064-f4a9-4197-93c0-3d49ed40f18f,trial.attorney,available,,,high,low,5,,,
da49c8e8-f3bd-4781-851f-4b1e255db3ab,family.attorney,available,,,high,low,6,,,
b45b898e-fcef-4c90-a6df-f3462d8d8904,context.esq,premium,411.25,,high,medium,7,name.com,,
da6475af-793e-47ea-bb6f-232b83fd67b7,public.lawyer,available,,,high,low,6,,,
800d0344-22e8-4b91-a2da-83f914643516,business.lawyer,available,,,high,medium,8,,,
f6538e39-8434-4a63-9c2a-43fe696a55b2,just.esq,premium,811.25,,high,medium,4,name.com,,
5a3e5ae4-2c8a-4077-bf7d-bfe3f192eb71,family.esq,premium,811.25,,high,medium,6,name.com,,
f94da3de-05b3-41a8-8e85-2df9d6545e5c,business.law,resell,,,high,medium,8,"GoDaddy.com, LLC",14/08/2020 09:01,14/08/2026 09:01
6ba7fdf4-f666-46c0-b0b8-1b210509da6f,policy.lawyer,available,62.99,62.99,high,low,6,namesilo,,
5ac1149e-8b70-43dd-9313-046b56444707,public.attorney,available,,,high,low,6,,,
cd1357ce-bcb7-409a-95eb-62c8c2970f7d,business.attorney,available,,,high,medium,8,,,
3a865deb-21ad-4eb5-b0d3-9dc01cc09385,policy.attorney,available,62.99,62.99,high,low,6,namesilo,,
ac01762d-c851-4cb4-a3ae-07ee024f6578,patent.attorney,available,,,high,low,6,,,
8f15ffcf-b131-43f6-8287-0bea31730eed,public.esq,premium,811.25,,high,low,6,name.com,,
2a971f1a-e3ca-4d11-b286-7c87d1226daa,business.esq,premium,1688.7,1688.7,high,medium,8,namecheap,,
73ff4090-b61f-4322-a5ab-d8fa02b5d7df,process.law,available,119.99,,high,low,7,name.com,,
b74cd51c-67b5-45f9-9b99-8e13664b0fa7,justice.lawyer,premium,1107,1107,high,low,7,namesilo,,
80c420e9-d217-4dc9-872a-f09b886adcb8,process.attorney,available,62.99,62.99,high,low,7,namesilo,,
58f3621b-e2e4-4363-b121-ceb8fee2f23f,policy.esq,premium,411.25,,high,low,6,name.com,,
03a86d04-6e0d-453b-ae3d-776296d95c09,family.law,resell,,,high,medium,6,"GoDaddy.com, LLC",27/02/2019 23:42,27/02/2027 23:42
5b85d627-1298-4565-a14f-84c311ed4425,property.lawyer,available,,,high,high,8,,,
1c733c9a-3783-4a9a-bb98-cedb8431ea45,advocate.lawyer,premium,3750,,high,low,8,name.com,,
ce475f10-82f4-4d25-86c5-6d4ed51fd02f,case.lawyer,premium,1107,1107,high,low,4,namesilo,,
67c698a3-a2fc-4121-9dbb-9a43d4cf41a9,support.lawyer,premium,3750,,high,medium,7,name.com,,
aa3585d7-c15a-424f-8071-4086fac961c1,justice.legal,resell,,,high,low,7,"Spaceship, Inc.",12/03/2015 22:59,12/03/2027 22:59
f5640cf3-773a-4a0e-810c-e8d64ba6d18e,justice.attorney,premium,1107,1107,high,low,7,namesilo,,
0305a933-8a5f-4169-984f-1d1875912802,corporate.legal,premium,242,242,high,low,9,namesilo,,
